Species,LEVEL1
Lathyrus nevadensis,10
Lathyrus nevadensis,7
Lewisia rediviva,6
Lewisia rediviva,10
Leymus cinereus,10
Leymus cinereus,6
Leymus mollis,3
Leymus mollis,2
Leymus mollis,7
Leymus mollis,6
Leymus mollis,10
Ligusticum canbyi,6
Ligusticum canbyi,10
Ligusticum scoticum,7
Ligusticum scoticum,2
Ligusticum scoticum,6
Lilium columbianum,6
Lilium columbianum,7
Lilium columbianum,10
Linnaea borealis,6
Linnaea borealis,7
Linnaea borealis,10
Linnaea borealis,2
Linnaea borealis,5
Linnaea borealis,3
Lithospermum ruderale,6
Lithospermum ruderale,10
Lithospermum ruderale,7
Lithospermum ruderale,5
Lomatium canbyi,10
Lomatium canbyi,6
Lomatium cous,10
Lomatium cous,6
Lomatium dissectum,6
Lomatium dissectum,7
Lomatium dissectum,10
Lomatium dissectum,5
Lomatium geyeri,6
Lomatium geyeri,10
Lomatium macrocarpum,10
Lomatium macrocarpum,6
Lomatium macrocarpum,7
Lomatium nudicaule,6
Lomatium nudicaule,10
Lomatium nudicaule,7
Lonicera ciliosa,7
Lonicera ciliosa,6
Lonicera ciliosa,10
Lonicera ciliosa,3
Lonicera involucrata,7
Lonicera involucrata,6
Lonicera involucrata,5
Lonicera involucrata,10
Lupinus nootkatensis,6
Lupinus nootkatensis,2
Lupinus nootkatensis,3
Lupinus nootkatensis,7
Lupinus nootkatensis,10
Lupinus polyphyllus,6
Lupinus polyphyllus,7
Lupinus polyphyllus,10
Lysichiton americanus,6
Lysichiton americanus,10
Lysichiton americanus,7
Lysichiton americanus,5
Mahonia aquifolium,6
Mahonia aquifolium,7
Mahonia aquifolium,10
Mahonia nervosa,6
Mahonia nervosa,7
Mahonia nervosa,5
Maianthemum dilatatum,7
Maianthemum dilatatum,6
Maianthemum dilatatum,5
Maianthemum dilatatum,10
Maianthemum dilatatum,2
Maianthemum racemosum,7
Maianthemum racemosum,6
Maianthemum racemosum,10
Maianthemum racemosum,5
Malus fusca,7
Malus fusca,6
Malus fusca,10
Mentha arvensis,6
Mentha arvensis,10
Mentha arvensis,7
Mentha arvensis,2
Mentha arvensis,3
Menziesia ferruginea,6
Menziesia ferruginea,7
Menziesia ferruginea,10
Menziesia ferruginea,3
Menziesia ferruginea,5
Moneses uniflora,6
Moneses uniflora,3
Moneses uniflora,7
Moneses uniflora,5
Moneses uniflora,2
Moneses uniflora,10
Monotropa uniflora,7
Monotropa uniflora,5
Monotropa uniflora,6
Monotropa uniflora,10
Myrica gale,2
Myrica gale,7
Myrica gale,6
Myrica gale,3
Myrica gale,5
Nicotiana attenuata,10
Nicotiana attenuata,6
Nicotiana attenuata,7
Nicotiana quadrivalvis,7
Nicotiana quadrivalvis,6
Nicotiana quadrivalvis,10
Nuphar lutea,7
Nuphar lutea,6
Nuphar lutea,5
Nuphar lutea,10
Nuphar lutea,3
Oemleria cerasiformis,7
Oemleria cerasiformis,6
Oenanthe sarmentosa,6
Oenanthe sarmentosa,7
Oenanthe sarmentosa,10
Oplopanax horridus,6
Oplopanax horridus,7
Oplopanax horridus,3
Oplopanax horridus,10
Oplopanax horridus,5
Osmorhiza berteroi,6
Osmorhiza berteroi,7
Osmorhiza berteroi,10
Osmorhiza berteroi,5
Osmorhiza occidentalis,6
Osmorhiza occidentalis,10
Osmorhiza occidentalis,7
Oxalis oregana,7
Oxalis oregana,6
Oxyria digyna,7
Oxyria digyna,6
Oxyria digyna,2
Oxyria digyna,3
Oxyria digyna,10
Paxistima myrsinites,6
Paxistima myrsinites,10
Paxistima myrsinites,7
Penstemon fruticosus,6
Penstemon fruticosus,10
Penstemon fruticosus,7
Perideridia gairdneri,7
Perideridia gairdneri,6
Perideridia gairdneri,10
Petasites frigidus,6
Petasites frigidus,3
Petasites frigidus,7
Petasites frigidus,10
Petasites frigidus,5
Petasites frigidus,2
Phalaris arundinacea,6
Phalaris arundinacea,10
Phalaris arundinacea,5
Phalaris arundinacea,7
Phalaris arundinacea,3
Philadelphus lewisii,6
Philadelphus lewisii,10
Philadelphus lewisii,7
Phyllospadix scouleri,7
Phyllospadix scouleri,6
Physocarpus capitatus,7
Physocarpus capitatus,6
Physocarpus capitatus,10
Physocarpus malvaceus,6
Physocarpus malvaceus,10
Physocarpus malvaceus,7
Plantago maritima,3
Plantago maritima,7
Plantago maritima,6
Plantago maritima,5
Plantago maritima,2
Populus balsamifera,6
Populus balsamifera,7
Populus balsamifera,5
Populus balsamifera,10
Populus balsamifera,3
Populus balsamifera,2
Populus tremuloides,5
Populus tremuloides,6
Populus tremuloides,3
Populus tremuloides,10
Populus tremuloides,7
Populus tremuloides,2
Potamogeton natans,6
Potamogeton natans,10
Potamogeton natans,5
Potamogeton natans,7
Potamogeton natans,3
Prunus emarginata,6
Prunus emarginata,10
Prunus emarginata,7
Prunus pensylvanica,6
Prunus pensylvanica,5
Prunus pensylvanica,3
Prunus pensylvanica,10
Prunus pensylvanica,7
Prunus virginiana,6
Prunus virginiana,10
Prunus virginiana,7
Prunus virginiana,5
Prunus virginiana,3
Pseudoroegneria spicata,10
Pseudoroegneria spicata,6
Pseudoroegneria spicata,7
Pseudoroegneria spicata,3
Pseudoroegneria spicata,2
Pseudoroegneria spicata,5
Pterospora andromedea,6
Pterospora andromedea,10
Pterospora andromedea,7
Purshia tridentata,6
Purshia tridentata,10
Purshia tridentata,7
Pyrola asarifolia,6
Pyrola asarifolia,7
Pyrola asarifolia,10
Pyrola asarifolia,3
Pyrola asarifolia,5
Pyrola asarifolia,2
Quercus garryana,6
Quercus garryana,7
Quercus garryana,10
Ranunculus glaberrimus,6
Ranunculus glaberrimus,10
Ranunculus glaberrimus,7
Ranunculus glaberrimus,5
Ranunculus occidentalis,7
Ranunculus occidentalis,6
Ranunculus occidentalis,10
Ranunculus occidentalis,2
Ranunculus occidentalis,5
Ranunculus occidentalis,3
Rhodiola rosea,2
Rhodiola rosea,7
Rhodiola rosea,6
Rhodiola rosea,3
Rhododendron albiflorum,6
Rhododendron albiflorum,7
Rhododendron albiflorum,10
Rhododendron albiflorum,5
Rhododendron albiflorum,3
Rhus glabra,10
Rhus glabra,6
Rhus glabra,7
Ribes aureum,10
Ribes aureum,6
Ribes aureum,7
Ribes bracteosum,7
Ribes bracteosum,6
Ribes cereum,6
Ribes cereum,10
Ribes cereum,7
Ribes divaricatum,7
Ribes divaricatum,6
Ribes divaricatum,10
Ribes lobbii,7
Ribes lobbii,6
Ribes inerme,10
Ribes inerme,6
Ribes inerme,7
Ribes inerme,5
Ribes oxyacanthoides,3
Ribes oxyacanthoides,6
Ribes oxyacanthoides,10
Ribes oxyacanthoides,5
Ribes oxyacanthoides,7
Ribes hudsonianum,3
Ribes hudsonianum,6
Ribes hudsonianum,7
Ribes hudsonianum,10
Ribes hudsonianum,2
Ribes hudsonianum,5
Ribes lacustre,6
Ribes lacustre,7
Ribes lacustre,10
Ribes lacustre,5
Ribes lacustre,3
Ribes lacustre,2
Ribes laxiflorum,6
Ribes laxiflorum,7
Ribes laxiflorum,10
Ribes laxiflorum,5
Ribes laxiflorum,2
Ribes glandulosum,3
Ribes glandulosum,5
Ribes glandulosum,6
Ribes glandulosum,7
Ribes glandulosum,2
Ribes sanguineum,6
Ribes sanguineum,7
Ribes sanguineum,10
Ribes triste,6
Ribes triste,5
Ribes triste,3
Ribes triste,2
Ribes triste,7
Rosa acicularis,3
Rosa acicularis,6
Rosa acicularis,7
Rosa acicularis,10
Rosa acicularis,5
Rosa acicularis,2
Rosa nutkana,7
Rosa nutkana,6
Rosa nutkana,10
Rosa nutkana,5
Rosa nutkana,3
Rosa pisocarpa,7
Rosa pisocarpa,6
Rosa pisocarpa,10
Rosa woodsii,3
Rosa woodsii,6
Rosa woodsii,10
Rosa woodsii,7
Rosa woodsii,5
Rosa gymnocarpa,6
Rosa gymnocarpa,7
Rosa gymnocarpa,10
Rubus arcticus,6
Rubus arcticus,3
Rubus arcticus,7
Rubus arcticus,5
Rubus arcticus,10
Rubus arcticus,2
Rubus chamaemorus,2
Rubus chamaemorus,6
Rubus chamaemorus,7
Rubus chamaemorus,3
Rubus chamaemorus,5
Rubus chamaemorus,10
Rubus leucodermis,10
Rubus leucodermis,6
Rubus leucodermis,7
Rubus parviflorus,7
Rubus parviflorus,6
Rubus parviflorus,10
Rubus parviflorus,5
Rubus pedatus,6
Rubus pedatus,7
Rubus pedatus,10
Rubus pedatus,3
Rubus pedatus,2
Rubus pedatus,5
Rubus pubescens,6
Rubus pubescens,3
Rubus pubescens,7
Rubus pubescens,5
Rubus pubescens,10
Rubus spectabilis,7
Rubus spectabilis,6
Rubus spectabilis,2
Rubus spectabilis,10
Rubus spectabilis,3
Rubus ursinus,6
Rubus ursinus,7
Rubus ursinus,10
Rumex aquaticus,6
Rumex aquaticus,7
Rumex aquaticus,10
Rumex aquaticus,5
Rumex aquaticus,3
Sagittaria latifolia,7
Sagittaria latifolia,6
Sagittaria latifolia,10
Sagittaria latifolia,5
Sagittaria latifolia,3
Sagittaria cuneata,10
Sagittaria cuneata,7
Sagittaria cuneata,6
Sagittaria cuneata,3
Sagittaria cuneata,5
Sagittaria cuneata,2
Salix bebbiana,6
Salix bebbiana,3
Salix bebbiana,7
Salix bebbiana,10
Salix bebbiana,5
Salix bebbiana,2
Salix discolor,6
Salix discolor,10
Salix discolor,3
Salix discolor,5
Salix hookeriana,7
Salix hookeriana,6
Salix hookeriana,10
Salix scouleriana,6
Salix scouleriana,7
Salix scouleriana,3
Salix scouleriana,10
Salix scouleriana,5
Salix sitchensis,7
Salix sitchensis,6
Salix sitchensis,10
Salix sitchensis,3
Salix sitchensis,5
Salix exigua,6
Salix exigua,10
Salix exigua,3
Salix exigua,7
Salix exigua,5
Salix lucida,6
Salix lucida,10
Salix lucida,5
Salix lucida,7
Salix lucida,3
Sambucus racemosa,7
Sambucus racemosa,6
Sambucus racemosa,10
Sambucus racemosa,5
Schoenoplectus acutus,10
Schoenoplectus acutus,7
Schoenoplectus acutus,6
Schoenoplectus acutus,3
Schoenoplectus acutus,5
Schoenoplectus americanus,10
Schoenoplectus americanus,7
Schoenoplectus americanus,6
Scirpus microcarpus,6
Scirpus microcarpus,7
Scirpus microcarpus,3
Scirpus microcarpus,10
Scirpus microcarpus,5
Sedum divergens,6
Sedum divergens,10
Sedum divergens,7
Shepherdia canadensis,2
Shepherdia canadensis,6
Shepherdia canadensis,10
Shepherdia canadensis,5
Shepherdia canadensis,3
Shepherdia canadensis,7
Sium suave,10
Sium suave,5
Sium suave,6
Sium suave,3
Sium suave,7
Solidago canadensis,6
Solidago canadensis,10
Solidago canadensis,7
Solidago canadensis,5
Solidago canadensis,3
Solidago canadensis,2
Sorbus sitchensis,6
Sorbus sitchensis,5
Sorbus sitchensis,10
Sorbus sitchensis,7
Sorbus scopulina,6
Sorbus scopulina,5
Sorbus scopulina,10
Sorbus scopulina,3
Sorbus scopulina,7
Sorbus scopulina,2
Spiraea betulifolia,6
Spiraea betulifolia,10
Spiraea betulifolia,7
Spiraea betulifolia,5
Spiraea betulifolia,3
Spiraea douglasii,6
Spiraea douglasii,7
Spiraea douglasii,10
Spiraea douglasii,3
Streptopus amplexifolius,10
Streptopus amplexifolius,6
Streptopus amplexifolius,7
Streptopus amplexifolius,3
Streptopus amplexifolius,2
Streptopus amplexifolius,5
Symphoricarpos albus,7
Symphoricarpos albus,10
Symphoricarpos albus,6
Symphoricarpos albus,5
Symphoricarpos albus,3
Thalictrum occidentale,6
Thalictrum occidentale,10
Thalictrum occidentale,7
Thalictrum occidentale,3
Thalictrum occidentale,5
Toxicodendron rydbergii,6
Toxicodendron rydbergii,10
Toxicodendron rydbergii,7
Toxicodendron rydbergii,5
Trifolium wormskioldii,10
Trifolium wormskioldii,7
Trifolium wormskioldii,6
Triglochin maritima,10
Triglochin maritima,7
Triglochin maritima,5
Triglochin maritima,6
Triglochin maritima,3
Triglochin maritima,2
Trillium ovatum,7
Trillium ovatum,6
Trillium ovatum,10
Trillium petiolatum,6
Trillium petiolatum,10
Triteleia grandiflora,6
Triteleia grandiflora,7
Triteleia grandiflora,10
Typha latifolia,7
Typha latifolia,3
Typha latifolia,10
Typha latifolia,6
Typha latifolia,5
Vaccinium caespitosum,6
Vaccinium caespitosum,3
Vaccinium caespitosum,5
Vaccinium caespitosum,7
Vaccinium caespitosum,10
Vaccinium membranaceum,6
Vaccinium membranaceum,7
Vaccinium membranaceum,10
Vaccinium membranaceum,5
Vaccinium membranaceum,3
Vaccinium myrtilloides,6
Vaccinium myrtilloides,5
Vaccinium myrtilloides,3
Vaccinium myrtilloides,7
Vaccinium myrtilloides,10
Vaccinium ovalifolium,6
Vaccinium ovalifolium,7
Vaccinium ovalifolium,3
Vaccinium ovalifolium,10
Vaccinium ovalifolium,2
Vaccinium ovatum,7
Vaccinium ovatum,6
Vaccinium oxycoccos,7
Vaccinium oxycoccos,10
Vaccinium oxycoccos,6
Vaccinium oxycoccos,3
Vaccinium oxycoccos,5
Vaccinium oxycoccos,2
Vaccinium parvifolium,6
Vaccinium parvifolium,7
Vaccinium parvifolium,10
Vaccinium parvifolium,3
Vaccinium scoparium,6
Vaccinium scoparium,10
Vaccinium scoparium,7
Vaccinium scoparium,5
Vaccinium myrtillus,6
Vaccinium myrtillus,10
Vaccinium myrtillus,7
Vaccinium myrtillus,5
Vaccinium uliginosum,7
Vaccinium uliginosum,6
Vaccinium uliginosum,3
Vaccinium uliginosum,2
Vaccinium uliginosum,10
Vaccinium uliginosum,5
Vaccinium vitis-idaea,2
Vaccinium vitis-idaea,3
Vaccinium vitis-idaea,5
Vaccinium vitis-idaea,6
Vaccinium vitis-idaea,7
Vaccinium vitis-idaea,10
Valeriana edulis,6
Valeriana edulis,10
Valeriana edulis,7
Valeriana sitchensis,6
Valeriana sitchensis,7
Valeriana sitchensis,3
Valeriana sitchensis,10
Veratrum viride,6
Veratrum viride,5
Veratrum viride,7
Veratrum viride,10
Veratrum viride,2
Veratrum viride,3
Viburnum edule,6
Viburnum edule,3
Viburnum edule,7
Viburnum edule,5
Viburnum edule,10
Viburnum edule,2
Viburnum opulus,6
Viburnum opulus,7
Viburnum opulus,10
Viburnum opulus,5
Vicia nigricans,7
Vicia nigricans,6
Viola adunca,6
Viola adunca,7
Viola adunca,5
Viola adunca,10
Viola adunca,3
Xerophyllum tenax,6
Xerophyllum tenax,7
Xerophyllum tenax,10
Zigadenus venenosus,6
Zigadenus venenosus,7
Zigadenus venenosus,10
Zigadenus venenosus,5
Zigadenus elegans,6
Zigadenus elegans,5
Zigadenus elegans,7
Zigadenus elegans,10
Zigadenus elegans,2
Zigadenus elegans,3
Zostera marina,7
Zostera marina,10
Zostera marina,6
Zostera marina,2
Hierochloe odorata,5
Hierochloe odorata,2
Hierochloe odorata,3
Hierochloe odorata,6
Ledum groenlandicum,7
Ledum groenlandicum,3
Ledum groenlandicum,5
Ledum groenlandicum,6
Ledum groenlandicum,10
Ledum groenlandicum,2
Ledum glandulosum,6
Ledum glandulosum,10
Ledum glandulosum,7
