Species,Ssp,Var,author,Ssp_author,Synonym (scientific name),Common (Western) name,Family,Covered in TRY?,Covered in Native American Ethnobotany database? ,Covered in Pierce et al. 2017? ,Covered in knb?,IUCN Status,Endemic? (Y/N),,,,TRY data available
Leymus cinereus,,,(Scribn. & Merr.) A. Love,,,basin/giant wildrye,Poaceae,Y,Y,,,/,,,,,requested
Leymus mollis,,,(Trin.) Pilg.,,,American dunegrass,Poaceae,Y,Y,,,/,,,,,requested
Ligusticum canbyi,,,(J.M. Coult. & Rose) J.M. Coult. & Rose,,,Canby's lovage/Canby’s licorice-root,Apiaceae,Y,Y,,,Unknown (Least Concern),,,,,requested
Ligusticum scoticum,,,L.,,,Scottish lovage/ Scottish licorice-root,Apiaceae,Y,Y,,,Unknown (Least Concern),,,,,requested
Lilium columbianum,,,Leichtlin,,,tiger lily/Columbia lily,Liliaceae,Y,Y,,,/,,,,,requested
Linnaea borealis,,,L.,,,twinflower,Caprifoliaceae,Y,Y,,,/,,,,,requested
Lithospermum ruderale,,,Douglas ex Lehm.,,,western stoneseed,Boraginaceae,Y,Y,,,/,,,,,requested
Lomatium canbyi,,,(J.M. Coult. & Rose) J.M. Coult. & Rose,,,Canby’s biscuitroot,Apiaceae,Y,Y,,,/,,,,,requested
Lomatium cous,,,(S. Watson) J.M. Coult. & Rose,,,/,Apiaceae,Y,Y,,,/,,,,,requested
Lomatium dissectum,,,(Nutt.) Mathias & Constance,,,"chocolate tips, or fernleaf biscuitroot",Apiaceae,Y,Y,,,/,,,,,requested
Lomatium geyeri,,,(S. Watson) J.M. Coult. & Rose,,,Geyer’s biscuitroot,Apiaceae,Y,Y,,,/,,,,,requested
Lomatium macrocarpum,,,(Nutt. ex Torr. & A. Gray) J.M. Coult. & Rose,,,desert parsley/bigseed biscuitroot,Apiaceae,N,Y,,,/,,,,,requested
Lomatium nudicaule,,,(Pursh) J.M. Coult. & Rose,,,"“wild celery,” barestem lomatium/barestem biscuitroot",Apiaceae,Y,Y,,,/,,,,,requested
Lonicera ciliosa,,,(Pursh) Poir. ex DC.,,,orange honeysuckle,Caprifoliaceae,Y,Y,,,/,,,,,requested
Lonicera involucrata,,,(Richardson) Banks ex Spreng.,,,"black twinberry, or twinflower honeysuckle",Caprifoliaceae,Y,Y,,,/,,,,,requested
Lupinus nootkatensis,,,Donn ex Sims,,,Nootka lupine,Fabaceae,Y,Y,,,Stable (Least Concern),,,,,requested
Lupinus polyphyllus,,,Lindl,,,bigleaf lupine,Fabaceae,Y,Y,,,Unknown (Least Concern),,,,,requested
Lysichiton americanus,,,Hultén & H. St. John,,,American skunk-cabbage,Araceae,Y,Y,,,Unknown (Least Concern),,,,,requested
Mahonia aquifolium,,,(Pursh) Nutt.,,,tall Oregon-grape,Berberidaceae,Y,Y,,,/,,,,,not found
Mahonia nervosa,,,(Pursh) Nutt.,,,dull-leaved Oregon-grape,Berberidaceae,N,Y,,,/,,,,,not found
Maianthemum dilatatum,,,(Alph. Wood) A. Nelson & J.F. Macbr.,,,"wild lily-of-thevalley, or false lily-of-the-valley",Liliaceae,Y,Y,,,/,,,,,requested
Maianthemum racemosum,ssp. amplexicaule,,,(Nutt.) LaFrankie,,false Solomon's-seal,Liliaceae,Y,Y,,,/,,,,,requested
Malus fusca,,,(Raf.) C.K. Schneid,,,Pacific crabapple,Rosaceae,Y,Y,,,Stable (Least Concern),,,,,requested
Mentha arvensis,,,L.,,,field mint/Canada mint,Lamiaceae,Y,Y,,,Unknown (Least Concern),,,,,requested
Menziesia ferruginea ,,,Sm.,,,false azalea/fool’s huckleberry,Ericaceae,Y,Y,,,/,,,,,not found
Moneses uniflora,,,(L.) A. Gray,,,single delight/one-flowered pyrola,Ericaceae,Y,Y,,,/,,,,,requested
Monotropa uniflora,,,L.,,,Indian-pipe,Monotropaceae,Y,Y,,,/,,,,,requested
Myrica gale,,,L.,,,sweetgale,Myricaceae,Y,Y,,,Unknown (Least Concern),,,,,requested
Nicotiana attenuata,,,Torr. ex S. Watson,,,wild/coyote tobacco,Solanaceae,N,Y,,,/,,,,,requested
Nicotiana quadrivalvis,,,Pursh,,,Haida/Northwest Coast tobacco,Solanaceae,Y,Y,,,/,,,,,requested
Nicotiana tabacum,,,L.,,,cultivated tobacco,Solanaceae,Y,Y,,,/,,,,,requested
Nuphar lutea,,,(L.) Sm. ssp. polysepala (Engelm.) E.O. Beal,,,yellow pond-lily,Nymphaeaceae,Y,Y,,,Stable (Least Concern),,,,,requested
Oemleria cerasiformis,,,(Torr. & A. Gray ex Hook. & Arn.) Landon,,,"bird plum, bird cherry",Rosaceae,Y,Y,,,Stable (Least Concern),,,,,requested
Oenanthe sarmentosa,,,C. Presl ex DC.,,,water-parsley,Apiaceae,Y,Y,,,Unknown (Least Concern),,,,,requested
Oplopanax horridus,,,(Sm.) Miq.,,,devil’s-club,Araliaceae,Y,Y,,,/,,,,,requested
Opuntia fragilis,,,(Nutt.) Haw.,,,brittle pricklypear cactus,Cactaceae,Y,Y,,,Stable (Least Concern),,,,,requested
Opuntia polyacantha,,,Haw.,,,plains pricklypear cactus,Cactaceae,Y,Y,,,Stable (Least Concern),,,,,requested
Osmorhiza berteroi,,,DC,,,sweet cicely,Apiaceae,Y,Y,,,/,,,,,requested
Osmorhiza occidentalis,,,(Nutt.) Torr.,,,western sweet cicely/ “sweetroot”,Apiaceae,Y,Y,,,/,,,,,requested
Oxalis oregana,,,Nutt.,,,Oregon woodsorrel,Oxalidaceae,Y,Y,,,/,,,,,requested
Oxyria digyna,,,(L.) Hill,,,mountain sorrel,Polygonaceae,Y,Y,,,/,,,,,requested
Paxistima myrsinites,,,(Pursh) Raf.,,,false box/Oregon boxleaf,Celastraceae,Y,Y,,,/,,,,,requested
Penstemon fruticosus,,,(Pursh) Greene,,,shrubby penstemon,Scrophulariaceae,Y,Y,,,/,,,,,requested
Perideridia gairdneri,,,(Hook. & Arn.) Mathias,,,wild caraway/yampah,Apiaceae,Y,Y,,,/,,,,,requested
Petasites frigidus,,,(L.) Fr. var. sagittatus (Banks ex Pursh) Cherniawsky,,,arrowleaf sweet coltsfoot,Asteraceae,Y,Y,,,Unknown (Least Concern),,,,,requested
Phalaris arundinacea,,,L.,,,reed canarygrass,Poaceae,Y,Y,,,Unknown (Least Concern),,,,,requested
Philadelphus lewisii,,,Pursh,,,mock-orange,Hydrangeaceae,Y,Y,,,/,,,,,requested
Phyllospadix scouleri,,,Hook. and P. torreyi S. Watson,,,surf-grass/seagrass,Zosteraceae,Y,Y,,,Stable (Least Concern),,,,,requested
Physocarpus capitatus,,,(Pursh) Kuntze,,,Pacific ninebark,Rosaceae,Y,Y,,,/,,,,,requested
Physocarpus malvaceus,,,(Greene) Kuntze,,,mallow ninebark,Rosaceae,Y,Y,,,/,,,,,requested
Plantago major,,,L.,,,"broadleaved plantain, or common plantain",Plantaginaceae,Y,Y,,,Unknown (Least Concern),,,,,requested
Plantago maritima,,,L.,,,"seaside plantain, or goose tongue",Plantaginaceae,Y,Y,,,Unknown (Least Concern),,,,,requested
Platanthera dilatata,,,(Pursh) Lindl. ex Beck,,,scented bog orchid,Orchidaceae,Y,Y,,,/,,,,,requested
Platanthera stricta,,,Lindl.,,,slender bog orchid,Orchidaceae,Y,Y,,,/,,,,,requested
Platanthera hyperborea,,,(L.) Lindl,,,northern green orchid,Orchidaceae,Y,N,,,Unknown (Least Concern),,,,,requested
Populus balsamifera,ssp. balsamifera,,L.,,,balsam poplar,Salicaceae,Y,Y,,,Stable (Least Concern),,,,,requested
Populus balsamifera,ssp. trichocarpa,,L.,(Torr. & A. Gray ex Hook.) Brayshaw,,black cottonwood,Salicaceae,Y,Y,,,Stable (Least Concern),,,,,requested
Populus tremuloides,,,Michx,,,trembling aspen,Salicaceae,Y,Y,,,Stable (Least Concern),,,,,requested
Potamogeton natans,,,L.,,,floating pondweed,Potamogetonaceae,Y,Y,,,Stable (Least Concern),,,,,requested
Prunus emarginata,,,(Douglas ex Hook.) D. Dietr.,,,bitter cherry,Rosaceae,Y,Y,,,Stable (Least Concern),,,,,requested
Prunus pensylvanica,,,L. f.,,,pin cherry,Rosaceae,Y,Y,,,Stable (Least Concern),,,,,requested
Prunus virginiana,,,L.,,,choke cherry,Rosaceae,Y,Y,,,Stable (Least Concern),,,,,requested
Pseudoroegneria spicata,,,(Pursh) A. Löve,,,bluebunch wheatgrass,Poaceae,Y,Y,,,/,,,,,not found
Pterospora andromedea,,,Nutt.,,,pinedrops,Monotropaceae,Y,Y,,,/,,,,,requested
Purshia tridentata,,,(Pursh) DC.,,,antelope-brush,Rosaceae,Y,Y,,,/,,,,,requested
Pyrola asarifolia,,,Michx.,,,common pyrola/common pink wintergreen,Pyrolaceae,Y,Y,,,/,,,,,requested
Quercus garryana,,,Douglas ex Hook.,,,garry oak,Fagaceae,Y,Y,,,Stable (Least Concern),,,,,requested
Ranunculus glaberrimus,,,Hook.,,,sagebrush buttercup,Ranunculaceae,Y,Y,,,/,,,,,requested
Ranunculus acris,,,L.,,,tall buttercup,Ranunculaceae,Y,Y,,,Stable (Least Concern),,,,,requested
Ranunculus occidentalis,,,Nutt.,,,western buttercup,Ranunculaceae,Y,Y,,,/,,,,,requested
Rhodiola rosea,,,L.,,,roseroot stonecrop,Crassulaceae,Y,Y,,,/,,,,,requested
Rhododendron albiflorum,,,Hook.,,,white mountain rhododendron,Ericaceae,Y,Y,,,/,,,,,not found
Rhododendron groenlandicum,,,(Oeder) K.A. Kron & W.S. Judd,,,Labrador-tea,Ericaceae,N,N,,,/,,,,,not found
Rhododendron neoglandulosum,,,Harmaja (syn. L. glandulosum Nutt.),,,"trapper’s tea, or western Labrador-tea",Ericaceae,N,N,,,/,,,,,not found
Rhus glabra,,,L.,,,smooth sumac,Anacardiaceae,Y,Y,,,Stable (Least Concern),,,,,requested
Ribes aureum,,,Pursh,,,golden currant,Grossulariaceae,Y,Y,,,/,,,,,requested
Ribes bracteosum,,,Douglas ex Hook.,,,gray currant/stink currant,Grossulariaceae,Y,Y,,,/,,,,,requested
Ribes cereum,,,Douglas,,,desert currant/wax currant,Grossulariaceae,Y,Y,,,/,,,,,requested
Ribes divaricatum,,,Douglas,,,coastal black gooseberry,Grossulariaceae,Y,Y,,,/,,,,,requested
Ribes lobbii,,,A. Gray,,,gummy gooseberry,Grossulariaceae,Y,Y,,,/,,,,,requested
Ribes inerme,,,Rydb.,,,whitestem gooseberry,Grossulariaceae,Y,Y,,,/,,,,,requested
Ribes oxyacanthoides,,,L. ssp. irriguum (Douglas) Sinnott,,,northern gooseberry,Grossulariaceae,Y,Y,,,/,,,,,requested
Ribes hudsonianum,,,Richardson,,,northern black currant,Grossulariaceae,Y,Y,,,/,,,,,requested
Ribes lacustre,,,(Pers.) Poir.,,,"prickly currant, or swamp gooseberry",Grossulariaceae,Y,Y,,,/,,,,,requested
Ribes laxiflorum,,,Pursh,,,trailing currant,Grossulariaceae,Y,Y,,,Unknown (Least Concern),,,,,requested
Ribes glandulosum,,,Grauer,,,skunk currant,Grossulariaceae,Y,Y,,,Unknown (Least Concern),,,,,requested
Ribes sanguineum,,,Pursh,,,red-flowering currant,Grossulariaceae,Y,Y,,,/,,,,,requested
Ribes triste,,,Pall.,,,northern red currant,Grossulariaceae,Y,Y,,,/,,,,,requested
Rosa acicularis,,,Lindl.,,,prickly rose,Rosaceae,Y,Y,,,Unknown (Least Concern),,,,,requested
Rosa nutkana,,,C. Presl,,,Nootka rose,Rosaceae,Y,Y,,,/,,,,,requested
Rosa pisocarpa,,,A. Gray,,,swamp rose,Rosaceae,Y,Y,,,/,,,,,requested
Rosa woodsii,,,Lindl.,,,Wood’s rose,Rosaceae,Y,Y,,,/,,,,,requested
Rosa gymnocarpa,,,Nutt.,,,"dwarf wild rose, or baldhip rose",Rosaceae,Y,Y,,,/,,,,,requested
Rubus arcticus,,,L. ssp. acaulis (Michx.) Focke,,,"nagoonberry, dwarf raspberry",Rosaceae,Y,Y,,,Unknown (Least Concern),,,,,requested
Rubus chamaemorus,,,L.,,,"cloudberry, or bakeapple",Rosaceae,Y,Y,,,Unknown (Least Concern),,,,,requested
Rubus idaeus,,,L.,,,"wild raspberry, or American red raspberry",Rosaceae,Y,Y,,,/,,,,,requested
Rubus leucodermis,,,Douglas ex Torr. & A. Gray,,,"blackcap, or black raspberry",Rosaceae,Y,Y,,,/,,,,,requested
Rubus parviflorus,,,Nutt.,,,thimbleberry,Rosaceae,Y,Y,,,/,,,,,requested
Rubus pedatus,,,Sm.,,,trailing raspberry,Rosaceae,Y,Y,,,Unknown (Least Concern),,,,,requested
Rubus pubescens,,,Raf.,,,dwarf red raspberry,Rosaceae,Y,Y,,,Unknown (Least Concern),,,,,requested
Rubus spectabilis,,,Pursh,,,salmonberry,Rosaceae,Y,Y,,,/,,,,,requested
Rubus ursinus,,,Cham. & Schltdl.,,,trailing blackberry,Rosaceae,Y,Y,,,/,,,,,requested
Rumex aquaticus,,,L. var. fenestratus (Greene) Dorn,,,western dock,Polygonaceae,Y,Y,,,/,,,,,requested
Sagittaria latifolia,,,Willd.,,,"wapato, or broadleaf arrowhead",Alismataceae,Y,Y,,,Unknown (Least Concern),,,,,requested
Sagittaria cuneata,,,Sheldon,,,arumleaf arrowhead,Alismataceae,Y,Y,,,Unknown (Least Concern),,,,,requested
Salix barclayi,,,Andersson,,,Barclay’s willow,Salicaeae,Y,N,,,Stable (Least Concern),,,,,requested
Salix bebbiana,,,Sarg.,,,Bebb willow,Salicaeae,Y,Y,,,Unknown (Least Concern),,,,,requested
Salix discolor,,,Muhl.,,,pussy willow,Salicaeae,Y,Y,,,Stable (Least Concern),,,,,requested
Salix hookeriana,,,Barratt ex Hook. ,,,Hooker's willow,Salicaeae,Y,Y,,,Stable (Least Concern),,,,,requested
Salix scouleriana,,,Barratt ex Hook. ,,,Scouler’s willow,Salicaeae,Y,Y,,,Stable (Least Concern),,,,,requested
Salix sitchensis,,,Sanson ex Bong.,,,Sitka willow,Salicaeae,Y,Y,,,Stable (Least Concern),,,,,requested
Salix exigua,,,Nutt.,,,"sandbar willow, or rope willow",Salicaceae,Y,Y,,,Stable (Least Concern),,,,,requested
Salix lucida,,,Muhl. ssp. lasiandra (Benth.) E. Murray,,,Pacific willow,Salicaceae,Y,Y,,,Stable (Least Concern),,,,,requested
Sambucus nigra,,,L. ssp. cerulea (Raf.) R. Bolli,,,blue elderberry,Caprifoliaceae,Y,Y,,,Stable (Least Concern),,,,,requested
Sambucus racemosa,,,L. ,,,red elderberry,Caprifoliaceae,Y,Y,,,Stable (Least Concern),,,,,requested
Schoenoplectus acutus,,,(Muhl. ex Bigelow) A. Löve & D. Löve,,,hardstem bulrush,Cyperaceae,Y,Y,,,Unknown (Least Concern),,,,,requested
Schoenoplectus americanus,,,(Pers.) Volkart ex Schinz & R. Keller,,,Olney’s three-square bulrush,Cyperaceae,Y,Y,,,Unknown (Least Concern),,,,,requested
Scirpus microcarpus,,,J. Presl & C. Presl,,,"small-flowered bulrush, or “cutgrass”",Cyperaceae,Y,Y,,,Unknown (Least Concern),,,,,requested
Sedum divergens,,,S. Watson,,,Pacific stonecrop,Crassulaceae,Y,Y,,,/,,,,,requested
Sedum oreganum,,,Nutt.,,,Oregon stonecrop,Crassulaceae,Y,N,,,/,,,,,requested
Shepherdia canadensis,,,(L.) Nutt.,,,"soapberry, or russet buffaloberry",Elaeagnaceae,Y,Y,,,/,,,,,requested
Sium suave,,,Walter,,,water-parsnip,Apiaceae,Y,Y,,,Unknown (Least Concern),,,,,requested
Solidago canadensis,,,L.,,,Canada goldenrod,Asteraceae,Y,Y,,,/,,,,,requested
Sorbus sitchensis,,,M. Roem.,,,western mountain-ash,Rosaceae,Y,Y,,,Stable (Least Concern),,,,,requested
Sorbus scopulina,,,Greene,,,Greene’s mountain-ash,Rosaceae,Y,Y,,,Stable (Least Concern),,,,,requested
Spiraea betulifolia,,,Pall,,,birch-leaved spiraea,Rosaceae,Y,Y,,,/,,,,,requested
Spiraea douglasii,,,Hook.,,,hardhack,Rosaceae,Y,Y,,,/,,,,,requested
Stachys chamissonis,,,Benth. var. cooleyae (A. Heller) G. Mulligan & D. Munro,,,coastal hedge-nettle,Lamiaceae,Y,N,,,/,,,,,requested
Streptopus amplexifolius,,,(L.) DC.,,,clasping twistedstalk,Liliaceae,Y,Y,,,/,,,,,requested
Streptopus streptopoides,,,(Ledeb.) Frye & Rigg,,,small twistedstalk,Liliaceae,Y,N,,,/,,,,,requested
Symphoricarpos albus,,,(L.) S.F. Blake,,,"common snowberry, or waxberry",Caprifoliaceae,Y,Y,,,/,,,,,requested
Thalictrum occidentale,,,Gray,,,western meadowrue,Ranunculaceae,Y,Y,,,/,,,,,requested
Toxicodendron rydbergii,,,(Small ex Rydb.) Greene,,,western poison-ivy,Anacardiaceae,Y,Y,,,/,,,,,requested
Trifolium wormskioldii,,,Lehm.,,,springbank clover,Fabaceae,Y,Y,,,/,,,,,requested
Triglochin maritima,,,L.,,,seaside arrowgrass,Juncaginaceae,Y,Y,,,Unknown (Least Concern),,,,,requested
Trillium ovatum,,,Pursh,,,western trillium,Liliaceae,Y,Y,,,Unknown (Least Concern),,,,,requested
Trillium petiolatum,,,Pursh,,,round-leaved trillium,Liliaceae,Y,Y,,,Unknown (Least Concern),,,,,requested
Triteleia grandiflora,,,Lindl,,,large-flowered triteleia,Liliaceae,Y,Y,,,/,,,,,requested
Typha latifolia,,,L.,,,cattail,Typhaceae,Y,Y,,,Stable (Least Concern),,,,,requested
Urtica dioica,,,L.,,,stinging nettle,Urticaceae,Y,Y,,,Unknown (Least Concern),,,,,requested
Vaccinium alaskaense,,,Howell,,,Alaska blueberry,Ericaceae,Y,N,,,/,,,,,requested
Vaccinium caespitosum,,,Michx.,,,dwarf bilberry,Ericaceae,Y,Y,,,/,,,,,requested
Vaccinium membranaceum,,,Douglas ex Torr.,,,"black mountain huckleberry, or thinleaf huckleberry",Ericaceae,Y,Y,,,/,,,,,requested
Vaccinium myrtilloides,,,Michx.,,,"velvetleaf blueberry, or Canada blueberry",Ericaceae,Y,Y,,,/,,,,,requested
Vaccinium ovalifolium,,,Sm.,,,oval-leaved blueberry,Ericaceae,Y,Y,,,/,,,,,requested
Vaccinium ovatum,,,Pursh,,,evergreen huckleberry,Ericaceae,Y,Y,,,/,,,,,requested
Vaccinium oxycoccos,,,L.,,,"bog cranberry, or small cranberry",Ericaceae,Y,Y,,,Unknown (Least Concern),,,,,requested
Vaccinium parvifolium,,,Sm.,,,red huckleberry,Ericaceae,Y,Y,,,/,,,,,requested
Vaccinium scoparium,,,Leiberg ex Coville,,,grouseberry,Ericaceae,Y,Y,,,/,,,,,requested
Vaccinium myrtillus,,,L.,,,whortleberry,Ericaceae,Y,Y,,,/,,,,,requested
Vaccinium uliginosum,,,L.,,,bog blueberry,Ericaceae,Y,Y,,,/,,,,,requested
Vaccinium vitis-idaea,,,L.,,,"lingonberry, or lowbush cranberry",Ericaceae,Y,Y,,,Unknown (Least Concern),,,,,requested
Valeriana edulis,,,Nutt. ex Torr. & A. Gray,,,"tobacco root, or edible valerian",Valerianaceae,Y,Y,,,/,,,,,requested
Valeriana sitchensis,,,Bong,,,"mountain valerian, or Sitka valerian",Valerianaceae,Y,Y,,,/,,,,,requested
Veratrum viride,,,Aiton,,,"false hellebore, or green hellebore",Liliaceae,Y,Y,,,/,,,,,requested
Viburnum edule,,,(Michx.) Raf,,,"highbush cranberry, or squashberry",Caprifoliaceae,Y,Y,,,/,,,,,requested
Viburnum opulus,,,L.,,,"American highbush cranberry, or bush cranberry",Caprifoliaceae,Y,Y,,,/,,,,,requested
Vicia nigricans,ssp. gigantea,,,(Hook.) Lassetter & C.R. Gunn.,,giant vetch,Fabaceae,Y,Y,,,/,,,,,requested
Viola adunca,,,Sm. var. adunca,,,early blue violet,Violaceae,Y,Y,,,/,,,,,requested
Xerophyllum tenax,,,(Pursh) Nutt.,,,common beargrass,Liliaceae,Y,Y,,,/,,,,,requested
Zigadenus venenosus,,,S. Watson,,,"death camas, meadow death camas",Liliaceae,Y,Y,,,/,,,,,not found
Zigadenus elegans,,,Pursh,,,mountain death camas,Liliaceae,Y,Y,,,/,,,,,not found
Zostera marina,,,L.,,,eelgrass,Zosteraceae,Y,Y,,,Decreasing (Least Concern),,,,,requested
,,,,,,,,,,,,,,,,,
Species extracted from,,,Names of Native Plant Species in Indigenous Languages of Northwestern North America,,,,,,,,,,,,,,
"There are also algae, lichens, fungi and bryophytes listed in the document. We could decide to omit these",,,,,,,,,,,,,,,,,
